"","time","I","D","I_.25","D_.25","I_.5","D_.5","I_.6","D_.6","I_.7","D_.7","I_.8","D_.8"
"233",232,200.108364881283,169137.47632651,816.67613698234,161615.678663422,3555.34761058547,151601.716125699,6479.00970395956,146517.029414308,11806.6796100663,140453.59187164,21303.3634706131,132911.954166483
"234",233,186.825776214552,169138.857691301,767.714277927471,161621.335400747,3367.89263819635,151626.435974255,6158.48246103093,146562.15375285,11265.259020757,140535.976882108,20416.0379526863,133060.930691978
"235",234,174.42466250003,169140.147364595,721.684932642166,161626.652991354,3190.26956615549,151649.852284417,5853.64436489164,146605.045094409,10748.1198126101,140614.581952625,19563.922821199,133203.695683243
"236",235,162.846549756112,169141.351431417,678.412796377513,161631.651749275,3021.96803212868,151672.033445489,5563.74374099552,146645.812803139,10254.2226319953,140689.576785563,18745.7674900532,133340.496157809
"237",236,152.036839944341,169142.475573124,637.733005088027,161636.350774033,2862.50361793115,151693.04429476,5288.06333425875,146684.560998699,9782.56807367461,140761.123803616,17960.3532624533,133471.570314091
"238",237,141.944554440175,169143.525094162,599.490518145718,161640.76802299,2711.41658761784,151712.946298274,5025.91892616441,146721.388789846,9332.19556772126,140829.378432218,17206.4936677115,133597.147760462
"239",238,132.522094432396,169144.504947049,563.539537031974,161644.920379418,2568.27068084989,151731.79772279,4776.65792420318,146756.390512453,8902.18228245398,140894.489366141,16483.034660076,133717.449746231
"240",239,123.725017140405,169145.419755715,529.742957854527,161648.82371655,2432.6519597929,151749.653799314,4539.65802408202,146789.655950634,8491.64197942042,140956.598839789,15788.8546937788,133832.689393575
"241",240,115.51182681073,169146.273837286,497.971855644353,161652.492957865,2304.16770799639,151766.566878587,4314.32592032844,146821.27054786,8099.72387456268,141015.842886397,15122.8646861882,133943.071929627
"242",241,107.843779521535,169147.071222428,468.105000519441,161655.942133599,2182.44537923416,151782.586578878,4100.09606172138,146851.315609548,7725.61153492065,141072.351581085,14484.0078825257,134048.794917926
"243",242,100.684700887134,169147.81567435,440.028399902552,161659.184434181,2067.13159455726,151797.75992645,3896.42944576806,146879.868496985,7368.52171598997,141126.249291801,13871.2596328886,134150.048488571
"244",243,94.0008158136576,169148.510706536,413.634868300152,161662.232260415,1957.89118578941,151812.131489025,3702.8124572096,146907.002812795,7027.70325357662,141177.654911837,13283.6270879506,134247.015566523
"245",244,87.7605895124338,169149.159599314,388.823623039292,161665.097270604,1854.40628364324,151825.743502578,3518.75574938007,146932.78857824,6702.43600768017,141226.682075174,12720.1488278063,134339.872097511
"246",245,81.9345790294233,169149.765415318,365.499903630525,161667.790424885,1756.37544872685,151838.635991772,3343.79316632843,146957.292402707,6392.02977092064,141273.439378324,12179.8944299535,134428.787271198
"247",246,76.4952945975992,169150.331013933,343.574613317827,161670.322026973,1663.5128437188,151850.846884335,3177.48070633586,146980.577645623,6095.82319453225,141318.030592419,11661.9639818914,134513.923742634
"248",247,71.417070164492,169150.859064774,322.963981877121,161672.701763394,1575.54744501906,151862.412119662,3019.39552550697,147002.70457112,5813.18274278836,141360.554865383,11165.4875618315,134595.437843734
"249",248,66.675942489585,169151.35206028,303.589248343494,161674.938740387,1492.22229223558,151873.365751928,2869.13498040362,147023.730495719,5543.50167204264,141401.106917566,10689.6246719818,134673.479796228
"250",249,62.2495382459328,169151.812327464,285.376362496136,161677.041518612,1413.29377323119,151883.740048062,2726.31570904361,147043.709929314,5286.19905736112,141439.777224795,10233.563631407,134748.193923477
"251",250,58.1169685975034,169152.242038895,268.255704015837,161679.01814578,1338.53094629925,151893.565580391,2590.57274910071,147062.694709726,5040.71880147495,141476.652202656,9796.52095679035,134819.718850223
"252",251,54.2587307584565,169152.643222942,252.161818279832,161680.876187345,1267.71489258467,151902.871314971,2461.5586922888,147080.734131091,4806.52867944713,141511.814381708,9377.74070993605,134888.187703738
"253",252,50.656616073031,169153.017773343,237.033167818291,161682.62275536,1200.63810088319,151911.684695318,2338.94287391271,147097.875066323,4583.11943756462,141545.342570501,8976.49381024366,134953.728315188
"254",253,47.293624185055,169153.367458138,222.811898519167,161684.264535616,1137.1038834698,151920.031721734,2222.41059646717,147114.162083927,4370.00386069194,141577.312022868,8592.07738511798,135016.463398267
"255",254,44.1538828944621,169153.693928012,209.443619713363,161685.807813155,1076.92582077714,151927.937026588,2111.66238620944,147129.637559372,4166.71590399004,141607.794591808,8223.81408527328,135076.510735345
"256",255,41.2225733247097,169153.998724082,196.877197324837,161687.258496267,1019.92723329878,151935.423945768,2006.41328161846,147144.341781269,3972.80988393836,141636.85887102,7871.05138144515,135133.983360753
"257",256,38.4858600497779,169154.283285169,185.064559318292,161688.622139045,965.940679897094,151942.514586452,1906.39215264283,147158.313052589,3787.859646764,141664.570340244,7533.16086441749,135188.989734785
"258",257,35.9308258525877,169154.548954585,173.96051271861,161689.903962596,914.807481450239,151949.229891344,1811.34104965988,147171.587787107,3611.45776812571,141690.991503285,7209.53754559222,135241.633914709
"259",258,33.5454108083237,169154.796986474,163.522571520356,161691.108874992,866.377267535538,151955.589699717,1721.01458107373,147184.200601315,3443.21478935224,141716.182018455,6899.59917691531,135292.015716027
"260",259,31.3183554063683,169155.028551728,153.710794844462,161692.241490012,820.50754694408,151961.612805161,1635.17931849391,147196.184401981,3282.75847895058,141740.198824172,6602.78555745209,135340.230873024
"261",260,29.2391474434565,169155.244743514,144.487634736101,161693.306144781,777.063299628349,151967.317010371,1553.61322845603,147207.570469552,3129.73311798662,141763.096259447,6318.55783685087,135386.371196722
"262",261,27.2979724383156,169155.446582433,135.817793033865,161694.306916339,735.916589049708,151972.719179134,1476.10512966396,147218.388537596,2983.79881065302,141784.926179361,6046.39784967562,135430.524722027
"263",262,25.4856673345549,169155.635021335,127.668086773015,161695.247637229,696.946194307605,151977.835285604,1402.45417475534,147228.66686845,2844.63082002993,141805.738065692,5785.8074406817,135472.775854602
"264",263,23.7936772739802,169155.810949815,120.007321617084,161696.131910148,660.037260993268,151982.68046101,1332.46935561585,147238.432325257,2711.91892765997,141825.579132895,5536.30778359703,135513.205516514
"265",264,22.2140152369088,169155.975198416,112.806172841905,161696.963121724,625.080969848594,151987.26903794,1265.96903094875,147247.710440596,2585.36681693696,141844.494429587,5297.43876886942,135551.891274034
"266",265,20.7392243595121,169156.128542544,106.037073423751,161697.744455463,591.97422235366,151991.614592314,1202.78047670012,147256.525481643,2464.6914797065,141862.526935716,5068.75836642831,135588.90747016
"267",266,19.3623427507757,169156.271706131,99.6741088097822,161698.478903925,560.61934241471,151995.729983173,1142.73945605679,147264.900512369,2349.62264535052,141879.717655567,4849.84199259733,135624.325354058
"268",267,18.0768706434066,169156.405365049,93.6929179737381,161699.169280173,530.923793355896,151999.627390391,1085.68980935534,147272.857452749,2239.90223190041,141896.105706772,4640.28190245575,135658.213202857
"269",268,16.8767397239781,169156.530150302,88.0706003831241,161699.818228534,502.799909187835,152003.318350453,1031.48306352733,147280.417135026,2135.28381852913,141911.728405475,4439.68659218102,135690.636440657
"270",269,15.7562844978433,169156.646651005,82.7856285262531,161700.42823471,476.164640683328,152006.813790234,979.978059855591,147287.599357256,2035.53213879252,141926.621347804,4247.68023174582,135721.657749998
"271",270,14.7102155539129,169156.755417163,77.8177656681889,161701.001635296,450.939313409348,152010.124059165,931.04059898852,147294.422934271,1940.42259402975,141940.818487794,4063.90209738397,135751.337182194
"272",271,13.7335946033242,169156.856962268,73.1479885241905,161701.540626715,427.049398502261,152013.258959679,884.543102658766,147300.905746183,1849.74078628595,141954.35221191,3888.00601101086,135779.7322653
"273",272,12.8218111743724,169156.951765723,68.7584145576864,161702.047273627,404.424295619486,152016.227776022,840.364291516268,147307.064784492,1763.28207013735,141967.253410292,3719.65981507776,135806.898104065
"274",273,11.9705608538651,169157.040275103,64.6322336271154,161702.523516827,382.997127086185,152019.039301563,798.388877776961,147312.916196022,1680.85112280642,141979.551544875,3558.54484702037,135832.88747925
"275",274,11.1758249723384,169157.122908272,60.7536437223084,161702.971180678,362.704542582834,152021.70186468,758.507272906554,147318.475324645,1602.26153195014,141991.274714493,3404.35541620781,135857.750945627
"276",275,10.4338516373688,169157.200055351,57.1077905464558,161703.391980089,343.486534008344,152024.223353293,720.61530921433,147323.756750966,1527.33540051716,142002.449717105,3256.79834222754,135881.536917484
"277",276,9.74113802555978,169157.272080562,53.6807107141663,161703.787527081,325.286259973099,152026.611238107,684.613974563092,147328.774330102,1455.90296789559,142013.102109288,3115.59247655928,135904.29175705
"278",277,9.09441384970821,169157.339323948,50.4592783497516,161704.15933696,308.049879420978,152028.872594625,650.409159809263,147333.541227595,1387.80224748128,142023.25626299,2980.46823351813,135926.059860483
"279",278,8.49062592319281,169157.402102974,47.4311548826914,161704.508834115,291.726393917484,152031.014124018,617.911418375328,147338.069953574,1322.87867924259,142032.935419801,2851.16714671751,135946.883738363
"280",279,7.92692374879026,169157.460714031,44.5847418492951,161704.837357476,276.26749816098,152033.042172884,587.035737382408,147342.372395227,1260.9847966488,142042.161742861,2727.44143886169,135966.804093505
"281",280,7.40064606395393,169157.515433834,41.9091365209424,161705.146165633,261.627438292625,152034.962751982,557.701319806629,147346.459847693,1201.97990812687,142050.956366377,2609.05360514656,135985.85989582
"282",281,6.90930827909489,169157.566520724,39.3940901899649,161705.436441661,247.762877606955,152036.781553964,529.831377150912,147350.343043427,1145.72979231523,142059.339442901,2495.7760104341,136004.088454241
"283",282,6.45059074961331,169157.614215893,37.0299689542923,161705.70929765,234.632769281366,152038.503970187,503.352932142749,147354.032180118,1092.10640632792,142067.330188491,2387.39050051362,136021.525485822
"284",283,6.02232782635729,169157.65874452,34.8077168514472,161705.965778959,222.198235762199,152040.135106636,478.196630844898,147357.536947261,1040.98760659038,142074.946925847,2283.68802665824,136038.205182112
"285",284,5.62249763285547,169157.700316834,32.7188212013778,161706.206868223,210.422454464882,152041.679799003,454.296564375181,147360.866551343,992.256881902167,142082.207125468,2184.46828334654,136054.160272895
"286",285,5.24921252109527,169157.739129107,30.7552800259913,161706.433489115,199.270549460915,152043.142626975,431.590098796572,147364.029739859,945.803097923206,142089.127444999,2089.53935891295,136069.422087378
"287",286,4.9007101608178,169157.775364582,28.9095714211361,161706.646509884,188.709488841975,152044.527927773,410.017713277225,147367.034824148,901.520252973619,142095.72376675,1998.71739869224,136084.020612949
