"","time","S","E","I","R","D","N_t"
"127",126,93224.6834551073,199.736973660576,1341.88159334716,3709972.01307899,195261.684898894,4e+06
"128",127,93208.4211133599,178.24232258908,1198.38387297037,3710144.20505653,195270.747634554,4e+06
"129",128,93193.9003826816,159.06846392639,1070.20844605389,3710297.98157197,195278.841135367,4e+06
"130",129,93180.9347827556,141.963406522282,955.723609782518,3710435.30929089,195286.068910047,4e+06
"131",130,93169.3577962097,126.702778266975,853.470598725522,3710557.94538546,195292.52344134,4e+06
"132",131,93159.0207317235,113.086752685261,762.145411536695,3710667.45974885,195298.287355203,4e+06
"133",132,93149.7908159755,100.937325655724,680.582518141608,3710765.25487321,195303.434467011,4e+06
"134",133,93141.5494898743,90.0959010062939,607.740258297912,3710852.58363328,195308.030717541,4e+06
"135",134,93134.1908871798,80.4211487282433,542.687760603663,3710930.56519331,195312.135010174,4e+06
"136",135,93127.620475958,71.7871041512648,484.593227087617,3711000.19923316,195315.79995964,4e+06
"137",136,93121.7538454311,64.0814801436294,432.713443865676,3711062.37866903,195319.072561528,4e+06
"138",137,93116.5156226535,57.2041678068412,386.384391959842,3711117.9010267,195321.994790879,4e+06
"139",138,93111.8385051152,51.0659040850712,345.012844814056,3711167.47860869,195324.604137299,4e+06
"140",139,93107.662396865,45.5870872416498,308.068850445565,3711211.74758217,195326.934083272,4e+06
"141",140,93103.9336370773,40.6967234274644,275.07900637503,3711251.27610146,195329.014531656,4e+06
"142",141,93100.6043111696,36.3314895259176,245.620444789155,3711286.57156679,195330.872187726,4e+06
"143",142,93097.6316356407,32.4348991838331,219.31545379202,3711318.08711081,195332.530900569,4e+06
"144",143,93094.9774087405,28.9565604615294,195.8266681659,3711346.2273945,195334.011968132,4e+06
"145",144,93092.6075199304,25.8515148640935,174.852769909756,3711371.35378553,195335.334409765,4e+06
"146",145,93090.4915118448,23.0796486916802,156.124644978001,3711393.78898476,195336.515209724,4e+06
"147",146,93088.6021891353,20.6051686812658,139.401948185084,3711413.8211593,195337.5695347,4e+06
"148",147,93086.9152691836,18.3961348228209,124.470033231158,3711431.70763462,195338.510928138,4e+06
"149",148,93085.4090702029,16.4240440385596,111.137209284262,3711447.67819265,195339.351483824,4e+06
"150",149,93084.064232727,14.663459124266,99.232289581843,3711461.93801764,195340.102000928,4e+06
"151",150,93082.8634709148,13.0916779798706,88.6024011296307,3711474.67032748,195340.772122499,4e+06
"152",151,93081.7913504802,11.6884387124383,79.1110278189904,3711486.03872384,195341.370459149,4e+06
"153",152,93080.8340903973,10.4356566865005,70.6362621936884,3711496.18929119,195341.904699536,4e+06
"154",153,93079.9793858369,9.31719003253013,63.0692437050129,3711505.2524714,195342.381709021,4e+06
"155",154,93079.2162500617,8.31863051063426,56.3127636315796,3711513.34473801,195342.80761779,4e+06
"156",155,93078.5348732518,7.42711696906756,50.2800189342443,3711520.5700913,195343.187899542,4e+06
"157",156,93077.9264964461,6.63116894118638,44.8934991917676,3711527.02139365,195343.527441771,4e+06
"158",157,93077.3832989847,5.92053819432637,40.0839924419202,3711532.78156186,195343.830608519,4e+06
"159",158,93076.8982980039,5.28607628379201,35.7896972555779,3711537.92463203,195344.101296423,4e+06
